date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty,accum_dist,atr,cmo,cmf,cci,ema_fast,ema_slow,hma_fast,hma_slow,mfi,obv,sma,percent_k,percent_d,smoothed_ma,true_range,ulti_osc,volatility,rsi,williams
2018-02-04 22:00:00,155.498,155.342,155.437,155.235,155.66,155.469,155.53,155.307,1250,38679609.939549744,2.756696263529489,-2.30578219226669,0.06705414746740199,2.8942006308188106,155.09793825747175,154.81379325333938,156.1469111111111,155.06420669934639,40.37582932960705,-6043026.0,154.7713,0.7603485838779961,0.8633502783829589,154.28442887579877,-57.265884974078475,27.38921892335614,1.0491684767462215,60.073803244250655,-57.265884974078475
2018-02-05 22:00:00,155.342,152.194,155.539,152.193,155.469,152.341,155.582,152.301,552176,38140897.542109944,2.8598266371765386,-30.586011342155018,-0.1647511010165555,-4.488655114788601,154.42886354361582,154.49194258538458,154.77548333333334,154.95014101307189,34.83572169683528,-6595202.0,154.44549999999998,0.0,0.5300169450496255,154.09008598821887,-61.73324383381652,24.992547655163563,0.8541490124486958,39.21211879220045,-61.73324383381652
2018-02-06 22:00:00,152.194,152.764,152.903,151.197,152.341,152.879,152.929,151.223,793871,38888234.48583795,2.9526439734588834,-14.360041623309302,0.11829673174376618,-7.630793417864654,154.05455481992345,154.27360068795235,153.2427388888889,154.59593937908494,34.0270424071217,-5801331.0,154.2566,0.14202745512143214,0.3007920129998094,153.96897738939697,-60.96488096088206,27.708415206985222,0.7925226273923034,42.99522473884854,-60.96488096088206
2018-02-07 22:00:00,152.764,151.669,153.118,151.318,152.879,151.832,153.17,151.34,500609,38656805.40714943,3.087079576112995,-22.55028820138823,0.13517845512680673,-7.6216253045818645,153.5076337807173,153.954373307796,151.99207222222222,153.98402442810456,32.93550791481738,-6301940.0,154.04149999999998,0.0,0.04734248504047738,153.75527965045725,-62.46018937716906,21.551045311663135,0.6764196932577107,37.89555898647506,-62.46018937716906
2018-02-08 22:00:00,151.669,151.263,154.037,150.817,151.832,151.345,154.062,150.847,651447,38207175.26935782,3.2567716185016953,-23.566287439052864,0.021619499371870625,-7.063433363985538,152.93774266518463,153.604099230639,151.04261296296292,153.19310220588235,33.25860604526274,-6953387.0,153.80109999999996,0.0,0.04734248504047738,153.51425168541152,-63.15571487739042,17.82404270468479,0.5852292202217905,35.706732341369076,-63.15571487739042
2018-02-09 22:00:00,151.263,150.355,152.746,148.875,151.345,150.483,152.772,148.936,662140,38079097.09417534,3.4956944566515245,-38.857078702144406,0.0032503406017156972,-11.391181447100184,152.23576151174618,153.15022297153192,150.40998148148148,152.27885996732027,28.725763415724657,-7615527.0,153.51190000000003,0.0,0.0,153.21112651687037,-64.38680929462002,17.81298851879143,0.4981371919765665,32.064381985209096,-64.38680929462002
2018-02-11 22:00:00,150.355,150.324,150.324,150.324,150.483,150.484,150.484,150.477,2,38079099.09417534,3.7107250109863705,-58.259756877799504,-0.07680605858389349,-11.240771240779038,151.65250987315036,152.76306121789872,150.02598888888892,151.3578910130719,27.306968210938948,-7615525.0,153.16590000000002,0.00017711654268593292,5.903884756197764e-05,152.93841386518332,-64.38538111084134,16.322961436363833,0.4519894424156584,32.07331344125119,-64.38538111084134
2018-02-12 22:00:00,150.324,150.286,150.817,149.655,150.484,150.42,150.843,149.68,418909,38193281.51291996,3.9105525098877334,-84.1166936790927,-0.12334458055188605,-10.176074259108304,151.1985639406447,152.39232907808452,149.91403333333332,150.56825539215689,20.400674173278503,-8034434.0,152.7042,0.0,5.903884756197764e-05,152.686572478665,-64.47678487267743,17.579873148947282,0.44251185102764334,31.776239404297343,-64.47678487267743
2018-02-13 22:00:00,150.286,149.735,150.614,148.966,150.42,149.859,150.645,148.994,420622,38213408.18645116,4.099597258898958,-84.32911760430324,-0.17086723344494312,-9.696542073054372,150.70811441873167,152.00416923780895,149.77229074074071,149.9137335784314,9.55293865302329,-8455056.0,152.0772,0.0,5.903884756197764e-05,152.4038152307985,-65.27799597252172,19.57401778987023,0.4841483896901519,29.146861302972766,-65.27799597252172
2018-02-14 22:00:00,149.735,149.721,150.024,147.953,149.859,149.87,150.045,147.98,526749,38650877.69492575,4.250637533009061,-83.57963875205294,-0.006220737807476449,-9.191897228878219,150.43695922559786,151.6775826229192,149.66659999999996,149.46630024509807,0.0,-7928307.0,151.4982,0.001960784313724725,0.000653594771241575,152.15043370771863,-65.26228595095616,21.162536153621794,0.576509332624067,29.27436263652963,-65.26228595095616
